Time,value,variable
1,-0.811717254,Leaf_litter
2,-0.243161951,Leaf_litter
3,0.085858259,Leaf_litter
4,-0.217286047,Leaf_litter
5,0.105905923,Leaf_litter
6,-0.562182186,Leaf_litter
7,0.044520121,Leaf_litter
8,-0.103221797,Leaf_litter
9,0.281389712,Leaf_litter
10,0.430776718,Leaf_litter
11,0.007907084,Leaf_litter
12,-0.166081056,Leaf_litter
13,0.08181649,Leaf_litter
14,0.209473887,Leaf_litter
15,0.043265289,Leaf_litter
16,0.154810214,Leaf_litter
17,1.482740786,Leaf_litter
18,-0.068384059,Leaf_litter
19,-2.328879891,Leaf_litter
20,-2.786026878,Leaf_litter
21,-2.189110175,Leaf_litter
22,-2.120480936,Leaf_litter
23,-1.931042585,Leaf_litter
24,-2.680962702,Leaf_litter
25,-0.064081888,Leaf_litter
26,-1.897907023,Leaf_litter
27,-2.603476724,Leaf_litter
28,-1.808288817,Leaf_litter
29,-1.496896265,Leaf_litter
30,-1.388419861,Leaf_litter
31,-0.975554355,Leaf_litter
32,-0.563222204,Leaf_litter
33,-1.874568497,Leaf_litter
34,-1.635387568,Leaf_litter
35,-0.964295837,Leaf_litter
36,-1.436566602,Leaf_litter
37,-1.528617516,Leaf_litter
38,-1.038668681,Leaf_litter
39,-1.296084225,Leaf_litter
40,-1.025272634,Leaf_litter
41,-1.462258184,Leaf_litter
42,-1.692719274,Leaf_litter
43,-1.101880444,Leaf_litter
44,-1.460865194,Leaf_litter
45,-1.326049954,Leaf_litter
46,-2.309204982,Leaf_litter
47,-0.845875434,Leaf_litter
48,-2.496946606,Leaf_litter
49,-2.02905874,Leaf_litter
50,-1.196873421,Leaf_litter
51,-1.531451717,Leaf_litter
52,-0.72934707,Leaf_litter
53,-0.086426674,Leaf_litter
54,-0.377801854,Leaf_litter
55,-0.272057856,Leaf_litter
56,-0.764427854,Leaf_litter
57,-0.711553981,Leaf_litter
58,-0.588483589,Leaf_litter
59,-0.285349165,Leaf_litter
60,-1.034183952,Leaf_litter
61,-0.822725638,Leaf_litter
62,-0.957551806,Leaf_litter
63,-0.800872387,Leaf_litter
64,-0.363194452,Leaf_litter
65,-0.285302989,Leaf_litter
66,-1.684889811,Leaf_litter
67,-1.369087128,Leaf_litter
1,-0.054340954,Canopy
2,0.038280025,Canopy
3,-0.011580454,Canopy
4,-0.028768808,Canopy
5,0.052346984,Canopy
6,-0.114846036,Canopy
7,-2.12389582,Canopy
8,-0.946471833,Canopy
9,-0.925621037,Canopy
10,-0.843265987,Canopy
11,-0.715025728,Canopy
12,-0.805963217,Canopy
13,-0.551324492,Canopy
14,-0.549622884,Canopy
15,-0.594833864,Canopy
16,-0.510174167,Canopy
17,-0.549622884,Canopy
18,-0.453516442,Canopy
19,-0.431118387,Canopy
20,-0.370568935,Canopy
21,-0.351328895,Canopy
22,-0.313477343,Canopy
23,-0.270126276,Canopy
24,-0.253973161,Canopy
25,-0.292223861,Canopy
26,-0.270554902,Canopy
27,-0.275281949,Canopy
28,-0.242652467,Canopy
29,-0.212671229,Canopy
30,-0.162947794,Canopy
31,-0.123690634,Canopy
1,-0.272308598,Shrimp
2,0.01340303,Shrimp
3,-0.562618793,Shrimp
4,-0.099215848,Shrimp
5,0.156503874,Shrimp
6,0.181821682,Shrimp
7,0.364143239,Shrimp
8,-0.060249879,Shrimp
9,0.181821682,Shrimp
10,0.12525133,Shrimp
11,0.235362449,Shrimp
12,-0.03509132,Shrimp
13,0.216223108,Shrimp
14,0.206514294,Shrimp
15,0.38067254,Shrimp
16,0.610352063,Shrimp
17,0.181821682,Shrimp
18,0.563676924,Shrimp
19,0.532478553,Shrimp
20,0.532478553,Shrimp
21,0.496632422,Shrimp
22,0.528951213,Shrimp
23,0.38067254,Shrimp
24,0.24009059,Shrimp
25,0.455658347,Shrimp
