Time,value,variable
1,-1.03391679,Leaf_litter
2,-1.324947736,Leaf_litter
3,-0.511549589,Leaf_litter
4,-0.890394361,Leaf_litter
5,-0.114783801,Leaf_litter
6,-0.607616663,Leaf_litter
7,-0.06972697,Leaf_litter
8,0.10417567,Leaf_litter
9,0.346472235,Leaf_litter
10,0.566684541,Leaf_litter
11,0.552601689,Leaf_litter
12,0.146828173,Leaf_litter
13,0.352881477,Leaf_litter
14,0.105327722,Leaf_litter
15,-0.199475689,Leaf_litter
16,0.381211487,Leaf_litter
17,1.793614103,Leaf_litter
18,0.714099845,Leaf_litter
19,-0.881529659,Leaf_litter
20,-0.946126372,Leaf_litter
21,-1.731426637,Leaf_litter
22,-1.023895647,Leaf_litter
23,-1.155725351,Leaf_litter
24,-1.592679052,Leaf_litter
25,-0.788258216,Leaf_litter
26,-1.643160676,Leaf_litter
27,-1.073264013,Leaf_litter
28,-1.256619939,Leaf_litter
29,-0.840765857,Leaf_litter
30,-0.502305706,Leaf_litter
31,-0.598869913,Leaf_litter
32,-0.70151056,Leaf_litter
33,-1.162473227,Leaf_litter
34,-0.817998155,Leaf_litter
35,-0.947264438,Leaf_litter
36,-0.909921175,Leaf_litter
37,-1.015944272,Leaf_litter
38,-1.49645676,Leaf_litter
39,-0.894219391,Leaf_litter
40,-0.936551829,Leaf_litter
41,-0.977840436,Leaf_litter
42,-1.102238876,Leaf_litter
43,-1.236164349,Leaf_litter
44,-1.30339163,Leaf_litter
45,-1.110259713,Leaf_litter
46,-1.592403782,Leaf_litter
47,-0.818693844,Leaf_litter
48,-1.517424033,Leaf_litter
49,-0.461633536,Leaf_litter
50,-0.887032296,Leaf_litter
51,-0.899936415,Leaf_litter
52,-1.181668619,Leaf_litter
53,-0.760226407,Leaf_litter
54,-0.510525117,Leaf_litter
55,-0.276555603,Leaf_litter
56,-0.270391739,Leaf_litter
57,-0.763202415,Leaf_litter
1,-0.008649476,Canopy
2,-0.016548051,Canopy
3,-0.031025197,Canopy
4,0.008575304,Canopy
5,0.045891433,Canopy
6,-0.040286741,Canopy
7,-1.16422885,Canopy
8,-0.625292414,Canopy
9,-0.608430014,Canopy
10,-0.561761758,Canopy
11,-0.473968832,Canopy
12,-0.40197135,Canopy
13,-0.307038316,Canopy
14,-0.249108018,Canopy
15,-0.370883813,Canopy
16,-0.333903136,Canopy
17,-0.293000156,Canopy
