TimeLeaf,QPALeaf,QPAsdLeaf,QPBLeaf,QPBsdLeaf,QPALeaflitter,QPBLeaflitter
1,0.514589372,0.861182547,0.067346072,0.08973418,-0.337276616,-0.571922561
2,1.95010352,3.377678376,0.203927813,0.212270537,-1.485366748,0.898724317
3,0.325603865,0.374845772,0.054739603,0.080864487,0.379443693,-0.135515836
4,0.058899505,0.091956854,0.002813163,0.003320275,-0.842415213,0.128935563
5,0.315483773,0.300738397,0.297164089,0.13426252,-0.425517813,-1.242740719
6,0.045541401,0.068034909,0.045450409,0.068584093,-1.349555652,-0.692656932
7,1.94447983,2.598650433,0.78014862,0.283705423,-0.131510376,-0.921873332
8,0.179150743,0.182799579,0.307282378,0.083621757,0.360576097,-0.65484587
9,0.096376812,0.085500694,0.076156354,0.02699638,-0.97510308,0.24588743
10,0.005357927,0.004789216,0.177552596,0.295972418,-0.189864013,-0.787079965
11,1.417845979,0.819357661,0.535356563,0.203581619,-2.93973718,0.33501927
12,0.68877522,0.615349552,0.443724241,0.417287616,-0.510993165,-0.556762028
13,1.095772947,0.687896893,0.34815552,0.167119761,-2.233785727,-0.651844567
14,2.322644928,1.212741116,0.42133758,0.081631667,0.003490665,-0.859352975
15,1.189814815,0.445311004,0.381962137,0.043947348,0.031998115,-0.186087065
16,2.028148148,0.932775988,0.506440198,0.155828264,0.024198886,0.397827821
17,2.663881785,2.191155666,0.476882728,0.122888134,-1.561529552,-0.070588948
18,na,na,0.164024534,0.14422951,-1.275069331,-1.320018266
19,0.632463768,0.58876037,0.713842887,0.749354704,-1.335341837,0.139385837
20,0.200644122,0.182131103,0.253768577,0.206640832,-2.899129461,0.459906746
21,1.295100069,0.373315542,0.330588414,0.016132089,-0.870893989,-2.184210167
22,0.381642512,0.269227847,0.083864119,0.059161533,-0.393134336,-0.127557627
23,0.579045894,0.22777095,0.145369917,0.10102027,-1.11676242,1.089666489
24,0.229830918,0.193269198,0.115591826,0.126299173,-0.88894214,-0.677642698
25,0.776960238,0.082495732,0.150971746,0.131421176,,0.595413222
26,1.27089372,1.146739207,0.371602972,0.253231583,,
27,0.334219002,0.262144555,0.132271762,0.121242567,,
28,0.732919255,0.277433562,0.406245577,0.403458225,,
29,0.046859903,0.043771237,0.166530179,0.260351364,,
30,0.531608006,0.431444165,0.151425538,0.048996584,,
31,0.094927536,0.065567698,0.123049363,0.199300791,,
32,0.889260498,0.218549052,0.241254287,0.151377021,,
33,0.914975845,0.171809154,0.432579618,0.465089759,,
34,0.907867495,0.035476298,0.270791629,0.272660889,,
35,0.185929952,0.239115772,0.077627389,0.014924416,,
36,0.247603882,0.019093181,0.334061268,0.232406669,,
37,0.233121019,0.126091228,0.460284751,0.511454602,,
38,0.048801941,0.03625742,0.032711556,0.017637103,,
39,0.370927105,0.30357442,0.255796178,0.128906378,,
40,0.598104337,0.549720893,0.864027904,0.639209686,,
41,0.29007431,0.258636001,0.147569002,0.067345968,,
42,0.364292608,0.178119424,0.527079714,0.446638678,,
