TimeLeaf,QPAInsede,QPBInside,QPALeafInside,QPBLeafInside
1,78.08,39.850,-0.737775214,0.52820904
2,282.57,41.350,-1.625342157,-0.239512309
3,43.13,39.400,0.019341695,-0.851081308
4,31.06,1.220,-1.107112874,-0.132273418
5,76.39,92.050,-0.718707116,-0.24160354
6,27.2,27.330,-1.255746561,-1.817968889
7,107.74,208.890,-0.100902624,-1.368749381
8,0,86.290,-0.595219526,-0.425837168
9,0,125.610,-1.188141697,0.23477447
10,0,89.670,-0.659925757,-0.15865641
11,115,171.220,-2.849373867,-0.426466594
12,51.73,232.540,-0.502261236,0.523715196
13,95.87,50.270,-2.661259391,0.053541132
14,84.74,107.240,-0.548314993,-1.229127928
15,140.63,162.840,-0.27094116,-0.092606207
16,134.68,81.310,-0.635346206,-0.182172571
17,74.04,165.040,-1.146409897,1.138456592
18,na,76.590,-0.315054776,0.276392442
19,37.92,41.550,-0.233298818,-1.425670249
20,15.61,85.260,-1.554855633,-0.406518917
21,80.85,76.430,0.738673654,1.05830965
22,26.21,15.800,-0.161719062,-2.257553818
23,38.65,24.760,0.039423182,-0.218581313
24,22.59,63.570,0.129662061,1.23957866
25,71.69,123.070,,-0.427096416
26,43.73,83.040,,0.496444705
27,24.17,63.530,,
28,40.99,164.300,,
29,4.59,102.670,,
30,47.99,28.470,,
31,5.54,88.710,,
32,45.83,81.110,,
33,60.48,303.820,,
34,42.01,128.300,,
35,25.2,23.390,,
36,57.87,64.810,,
37,62.8,280.420,,
38,16.75,10.180,,
39,165.99,78.210,,
40,67.46,336.150,,
41,82.49,63.490,,
42,90.28,159.880,,
