TimeMacro,QPAMacroinv,QPAsdMacroinv,QPBMacroinv,QPBsdMacroinv,QPAMacroinvLog,QPBMacroinvLog
1,1236.841667,618.5472635,1263.383333,512.6871767,-1.985130863,-2.113238921
2,1735.825,599.522142,2059.633333,1225.643473,-1.060871961,0.414088444
3,414.05,150.2924072,886.4916667,507.8996024,-1.593088775,0.724669267
4,276.0333333,143.0691853,674.1583333,373.3762578,-0.092018899,1.888259091
5,631.6916667,241.3628594,414.05,130.8049164,-1.49043462,-1.547925112
6,504.2916667,179.6853191,1788.908333,506.3660319,-1.593088775,-0.173059447
7,1905.691667,750.1747485,732.55,174.8368706,0.058683501,1.715402475
8,1024.508333,371.1963819,966.1166667,410.9898023,-1.060871961,-0.275868941
9,132.7083333,44.6026371,132.7083333,42.26713541,-0.52187546,-1.57091463
10,334.425,133.5549661,1661.508333,683.8691036,-1.291983682,-0.788819964
11,196.4083333,101.8591572,2266.658333,1220.078586,-0.104140259,-1.069434869
12,881.1833333,394.0199588,7256.491667,4097.148286,-0.092018899,-0.023847049
13,217.6416667,117.8641276,233.5666667,92.18788574,0.309422059,-0.256940931
14,196.4083333,90.98799226,923.65,325.6393179,-0.344194283,-0.426839968
15,1024.508333,183.962664,6104.583333,3694.725079,-0.441832752,-1.173231663
16,334.425,128.1278169,833.4083333,432.6926666,-0.050715093,-0.757403768
17,573.3,381.6687975,228.2583333,50.30328587,0.542196503,0.201274742
18,265.4166667,68.14543842,498.9833333,162.9580522,-0.503526321,0.228566885
19,870.5666667,232.8416779,376.8916667,90.98799226,-0.039220713,-0.950088111
20,881.1833333,199.6949564,1072.283333,562.5030214,-0.167054085,-0.275868941
21,1316.466667,523.2627486,849.3333333,270.4646624,-0.173568766,-0.464580296
22,684.775,160.6768578,716.625,166.6681417,-0.383725122,-0.757403768
23,621.075,182.9181113,339.7333333,112.6567912,-0.424883194,-0.095672783
24,918.3416667,308.6237792,514.9083333,196.2360957,-1.126469243,-2.113238921
25,1661.508333,562.1873364,1343.008333,156.7711801,,
26,583.9166667,248.9829033,1380.166667,318.5707699,,
27,928.9583333,230.1760911,424.6666667,88.82540615,,
28,817.4833333,327.6751226,833.4083333,237.1227212,,
29,812.175,342.1219804,690.0833333,176.5050767,,
30,658.2333333,235.7282552,514.9083333,145.3553109,,
31,631.6916667,177.6032209,997.9666667,240.2746587,,
32,313.1916667,171.0074455,132.7083333,37.15833333,,
