Time,value,variable,stream
1,-0.157550428,Shrimp,QPA
2,-0.234144472,Shrimp,QPA
3,-0.239412557,Shrimp,QPA
4,-0.08624015,Shrimp,QPA
5,0.194175763,Shrimp,QPA
6,0.333178603,Shrimp,QPA
7,0.233076659,Shrimp,QPA
8,0.923224456,Shrimp,QPA
9,-0.0102773,Shrimp,QPA
10,0.383621806,Shrimp,QPA
11,0.645634177,Shrimp,QPA
12,0.709431247,Shrimp,QPA
1,0.573452644,Shrimp,QPB
2,0.433933772,Shrimp,QPB
3,0.662695404,Shrimp,QPB
4,-0.011889678,Shrimp,QPB
5,0.468102895,Shrimp,QPB
6,0.334651652,Shrimp,QPB
7,0.704743127,Shrimp,QPB
8,1.153900529,Shrimp,QPB
9,0.606876303,Shrimp,QPB
10,1.023591482,Shrimp,QPB
11,1.239689025,Shrimp,QPB
12,1.130940486,Shrimp,QPB
1,0.181821682,ShrimpNCorrect,QPA
2,0.12525133,ShrimpNCorrect,QPA
3,0.235362449,ShrimpNCorrect,QPA
4,-0.03509132,ShrimpNCorrect,QPA
5,0.216223108,ShrimpNCorrect,QPA
6,0.206514294,ShrimpNCorrect,QPA
7,0.38067254,ShrimpNCorrect,QPA
8,0.610352063,ShrimpNCorrect,QPA
9,0.181821682,ShrimpNCorrect,QPA
10,0.563676924,ShrimpNCorrect,QPA
11,0.532478553,ShrimpNCorrect,QPA
12,0.532478553,ShrimpNCorrect,QPA
13,0.496632422,ShrimpNCorrect,QPA
14,0.528951213,ShrimpNCorrect,QPA
15,0.38067254,ShrimpNCorrect,QPA
16,0.24009059,ShrimpNCorrect,QPA
17,0.455658347,ShrimpNCorrect,QPA
18,0.330241687,ShrimpNCorrect,QPA
19,0.542986531,ShrimpNCorrect,QPA
20,0.786137649,ShrimpNCorrect,QPA
21,0.553385238,ShrimpNCorrect,QPA
22,0.603816092,ShrimpNCorrect,QPA
23,0.744290539,ShrimpNCorrect,QPA
24,0.201624309,ShrimpNCorrect,QPA
25,0.518293918,ShrimpNCorrect,QPA
26,0.636076954,ShrimpNCorrect,QPA
27,0.24009059,ShrimpNCorrect,QPA
28,0.140999687,ShrimpNCorrect,QPA
1,0.316790157,ShrimpNCorrect,QPB
2,0.222299313,ShrimpNCorrect,QPB
3,0.447243045,ShrimpNCorrect,QPB
4,0.023628618,ShrimpNCorrect,QPB
5,0.316790157,ShrimpNCorrect,QPB
6,0.222299313,ShrimpNCorrect,QPB
7,0.565026081,ShrimpNCorrect,QPB
8,0.557805833,ShrimpNCorrect,QPB
9,0.291892605,ShrimpNCorrect,QPB
10,0.976600917,ShrimpNCorrect,QPB
11,0.6247569,ShrimpNCorrect,QPB
12,0.6247569,ShrimpNCorrect,QPB
13,0.587942927,ShrimpNCorrect,QPB
14,0.410608912,ShrimpNCorrect,QPB
15,0.166729462,ShrimpNCorrect,QPB
16,0.556194229,ShrimpNCorrect,QPB
17,0.41804389,ShrimpNCorrect,QPB
18,0.770264484,ShrimpNCorrect,QPB
19,0.61263554,ShrimpNCorrect,QPB
20,0.587942927,ShrimpNCorrect,QPB
21,0.700154918,ShrimpNCorrect,QPB
22,0.240156931,ShrimpNCorrect,QPB
23,0.759793184,ShrimpNCorrect,QPB
24,0.157160011,ShrimpNCorrect,QPB
25,0.372581516,ShrimpNCorrect,QPB
26,0.666060706,ShrimpNCorrect,QPB
27,0.300260855,ShrimpNCorrect,QPB
28,0.163151641,ShrimpNCorrect,QPB
