TimeCHLA,QPAShrimp,QPAsdShrimp,QPBShrimp,QPBsdShrimp,QPAShrimpLog,QPBShrimpLog
1,6.89,1.860880902,4.70,1.341643764,-0.157550428,0.573452644
2,9.81,2.55,7.10,1.40,-0.234144472,0.433933772
3,2.48,0.64,2.92,0.87,-0.239412557,0.662695404
4,4.98,1.27,3.63,0.85,-0.08624015,-0.011889678
5,6.55,1.71,3.79,0.74,0.194175763,0.468102895
6,9.60,2.32,5.83,1.07,0.333178603,0.334651652
7,7.03,1.41,4.84,1.07,0.233076659,0.704743127
8,4.66,1.49,4.10,1.04,0.923224456,1.153900529
9,5.55,1.79,8.18,1.98,-0.0102773,0.606876303
10,5.14,1.13,7.12,1.28,0.383621806,1.023591482
11,5.12,1.42,8.95,2.51,0.645634177,1.239689025
12,5.96,1.96,4.56,1.37,0.709431247,1.130940486
13,7.89,1.64,7.37,0.63,,
14,9.07,1.43,6.45,1.56,,
15,8.21,2.16,9.33,2.43,,
16,16.37,4.49,14.63,5.05,,
17,6.43,1.52,8.46,2.93,,
18,9.54,1.78,12.84,3.09,,
19,12.39956431,3.14,15.93527468,4.62,,
20,13.21639899,3.011373224,14.29323925,3.975573391,,
