TimeCHLA,QPAShrimp,QPAsdShrimp,QPBShrimp,QPBsdShrimp,QPAShrimpLog,QPBShrimpLog
1,14.11111111,4.350748481,8.111111111,1.711435756,0.181821682,0.316790157
2,18.77777778,5.071099425,10.88888889,2.694873963,0.12525133,0.222299313
3,10.55555556,3.582794964,7.777777778,2.909647639,0.235362449,0.447243045
4,16.77777778,5.758514898,9.666666667,4.082482905,-0.03509132,0.023628618
5,21.66666667,7.95298686,9.111111111,2.761060809,0.216223108,0.316790157
6,22.22222222,5.285666619,11.11111111,2.694873963,0.206514294,0.222299313
7,26.66666667,8.010409894,14.33333333,4.453463072,0.38067254,0.565026081
8,17.44444444,6.26744479,8,2.624669291,0.610352063,0.557805833
9,22.22222222,9.560883528,13.55555556,2.298013098,0.181821682,0.291892605
10,21,7.69018133,12.33333333,1.394433378,0.563676924,0.976600917
11,23.44444444,7.898859114,15.44444444,3.100676947,0.532478553,0.6247569
12,17.88888889,5.961553779,10.11111111,3.038843185,0.532478553,0.6247569
13,23,7.224572267,13.55555556,3.535970365,0.496632422,0.587942927
14,22.77777778,6.697382942,12.33333333,3.214550254,0.528951213,0.410608912
15,27.11111111,8.888888889,17.375,4.312909746,0.38067254,0.166729462
16,34.11111111,12.07090676,17.25,4.097037257,0.24009059,0.556194229
17,22.22222222,8.082521914,13.22222222,2.498765127,0.455658347,0.41804389
18,32.55555556,10.88208404,26.22222222,5.68569789,0.330241687,0.770264484
19,31.55555556,10.36166963,18.44444444,4.343293397,0.542986531,0.61263554
20,31.55555556,10.36166963,18.44444444,4.343293397,0.786137649,0.587942927
21,30.44444444,11.21025214,17.77777778,5.157997506,0.553385238,0.700154918
22,31.44444444,10.06383944,14.88888889,5.37856973,0.603816092,0.240156931
23,27.11111111,7.099382689,11.66666667,2.838231061,0.744290539,0.759793184
24,23.55555556,7.953180899,17.22222222,3.692250811,0.201624309,0.157160011
25,29.22222222,10.16226377,15,4.672615256,0.518293918,0.372581516
26,25.77777778,9.756447694,21.33333333,7.13948333,0.636076954,0.666060706
27,31.88888889,12.85003723,18.22222222,6.393959341,0.24009059,0.300260855
28,40.66666667,14.56784892,17.77777778,5.680810236,0.140999687,0.163151641
29,32.22222222,10.69758251,19.88888889,7.458113487,,
30,33.88888889,10.30297212,12.55555556,4.96126975,,
31,39,12.7704085,21.11111111,6.371473849,,
32,22.66666667,8.264717512,11.55555556,2.619961361,,
33,31.11111111,10.39156234,14.33333333,3.937003937,,
34,35,13.76287276,19.22222222,5.880234731,,
35,23.55555556,7.979332872,13.33333333,4.552166761,,
36,21.33333333,7.889866919,11.625,3.899277507,,
