TimeLeaf,QPALeaf,QPAsdLeaf,QPBLeaf,QPBsdLeaf,QPALeaflitter,QPBLeaflitter
1,0.77,1.04,0.1,0.1,na,-0.541597282
2,1.95,3.38,0.2,0.21,-0.3697831,0.948493872
3,0.33,0.37,0.05,0.08,-1.517185553,-0.09531018
4,0.06,0.09,0,0,0.354616624,0.182321557
5,0.32,0.3,0.3,0.13,-0.875331667,-1.234744463
6,0.05,0.07,0.05,0.07,-1.37742361,-0.606135804
7,1.94,2.6,0.78,0.28,-0.452474816,-0.829279355
8,0.27,0.14,0.31,0.08,-0.156209,-0.606135804
9,0.14,0.03,0.08,0.03,0.668865724,0.296731908
10,0.01,0,0.18,0.3,-1.016410265,-0.749236647
11,1.42,0.82,0.54,0.2,-0.222458385,0.399386062
12,0.69,0.62,0.15,0.14,-2.903479914,-0.480972661
13,1.1,0.69,0.35,0.17,-0.542625913,-0.606135804
14,2.32,1.21,0.42,0.08,-2.262389095,-0.804185497
15,1.19,0.45,0.38,0.04,-0.025112703,-0.130919587
16,2.03,0.93,0.51,0.16,0.003394747,0.452995299
17,2.66,2.19,0.48,0.12,-0.004404482,-0.01542147
18,na,na,0.16,0.14,-1.59013292,-1.264850788
19,0.63,0.59,0.71,0.75,-1.303672699,0.194553315
20,0.2,0.18,0.25,0.21,-1.363945205,0.515074224
21,1.3,0.37,0.33,0.02,-2.927732829,-2.129042689
22,0.38,0.27,0.08,0.06,-0.899497357,-0.072390149
23,0.23,0.19,0.15,0.1,-0.421737703,1.144833967
24,0.58,0.23,0.12,0.13,-1.145365788,-0.62247522
25,0.78,0.08,0.15,0.13,-0.917545508,0.6505807
26,1.78,1.55,0.37,0.25,,
27,0.33,0.26,0.13,0.12,,
28,0.73,0.28,0.41,0.4,,
29,0.05,0.04,0.17,0.26,,
30,0.53,0.43,0.15,0.05,,
31,0.094927536,0.065567698,0.123049363,0.199300791,,
32,0.889260498,0.218549052,0.241254287,0.151377021,,
33,0.914975845,0.171809154,0.432579618,0.465089759,,
34,0.907867495,0.035476298,0.270791629,0.272660889,,
35,0.185929952,0.239115772,0.077627389,0.014924416,,
36,0.247603882,0.019093181,0.334061268,0.232406669,,
37,0.233121019,0.126091228,0.460284751,0.511454602,,
38,0.048801941,0.03625742,0.032711556,0.017637103,,
39,0.370927105,0.30357442,0.255796178,0.128906378,,
40,0.598104337,0.549720893,0.864027904,0.639209686,,
41,0.29007431,0.258636001,0.147569002,0.067345968,,
42,0.364292608,0.178119424,0.527079714,0.446638678,,
