Leaf_litter,Canopy,Shrimp,Chlorophyll-a,Macroinvertebrates
-1.03391679,0.066649426,-0.196771447,0.529297627,0.140155927
-1.324947736,0.123402242,0.097736591,0.744673343,0.628890593
-0.511549589,0.218712422,-0.238735646,0.010410838,-0.214120934
-0.890394361,-0.071410803,-0.021322769,-0.062782538,-0.48792766
-0.114783801,-0.471304866,-0.080511641,-0.074597073,-0.975405919
-0.607616663,0.27459288,0.117939298,-0.569827779,0.487968184
-0.06972697,1.872502142,0.372581516,-0.643921347,-0.404861061
0.10417567,1.551896958,-0.210564769,-0.677174019,-0.128108059
0.346472235,1.536349726,0.316790157,-0.328678396,-2.113238921
0.566684541,1.490548934,0.222299313,-0.918657663,0.414088444
0.552601689,1.39148244,0.447243045,-0.357707522,0.724669267
0.146828173,1.294424291,0.023628618,-0.595441674,1.888259091
0.352881477,1.13646499,0.316790157,-0.84326853,-1.547925112
0.105327722,1.016906589,0.222299313,-1.168300959,-0.173059447
-0.199475689,1.246987452,0.565026081,-0.243954747,1.715402475
0.381211487,1.185334648,0.557805833,-0.447141211,-0.275868941
1.793614103,1.109390578,0.291892605,-1.008017293,-1.57091463
0.714099845,1.240990432,0.976600917,-0.273865811,-0.788819964
-0.881529659,1.181352166,0.6247569,-0.387846781,-1.069434869
-0.946126372,1.195615482,0.6247569,-0.171091571,-0.023847049
-1.731426637,1.141460837,0.587942927,0.024479054,-0.256940931
-1.023895647,0.782647871,0.410608912,-0.109711891,-0.426839968
-1.155725351,1.030918963,0.166729462,-1.654887464,-1.173231663
-1.592679052,0.925352283,0.556194229,-1.654887464,-0.757403768
-0.788258216,1.106814364,0.41804389,-0.026781492,0.201274742
-1.643160676,1.309983304,0.770264484,0.085037905,0.228566885
-1.073264013,1.233443227,0.61263554,-0.400831512,-0.950088111
-1.256619939,1.201890013,0.587942927,0.110598048,-0.275868941
-0.840765857,1.067352865,0.700154918,0.061871643,-0.464580296
-0.502305706,1.085962175,0.240156931,-1.10714305,-0.757403768
-0.598869913,0.96675143,0.759793184,0.260289854,-0.095672783
-0.70151056,0.881087944,0.157160011,-0.863029332,-2.113238921
-1.162473227,0.923288298,0.372581516,-0.1277548, 
-0.817998155,1.041071334,0.666060706,,
-0.947264438,0.774289613,0.300260855,,
-0.909921175,0.459874479,0.163151641,,
-1.015944272,0.852670731,,,
-1.49645676,0.967740061,,,
-0.894219391,0.80962898,,,
-0.936551829,0.85930059,,,
-0.977840436,0.704782735,,,
-1.102238876,0.823422302,,,
-1.236164349,,,,
-1.30339163,,,,
-1.110259713,,,,
-1.592403782,,,,
-0.818693844,,,,
-1.517424033,,,,
-0.461633536,,,,
-0.887032296,,,,
-0.899936415,,,,
-1.181668619,,,,
-0.760226407,,,,
-0.510525117,,,,
-0.276555603,,,,
-0.270391739,,,,
-0.763202415,,,,
-0.514927158,,,,
-0.207406064,,,,
-0.514130386,,,,
-0.787170279,,,,
-0.998968675,,,,
-0.728808123,,,,
-0.590584485,,,,
-1.133567269,,,,
-1.020126191,,,,
-1.035483352,,,,
-1.252052964,,,,
-1.701579112,,,,
-1.237738968,,,,
-0.133874299,,,,
-0.235070008,,,,
-1.495950815,,,,
-0.974074072,,,,
-1.988234189,,,,
-1.168609357,,,,
-1.183993913,,,,
-1.459642787,,,,
