TimeCanopy,QPACanopy,QPAsdCanopy,QPBCanopy,QPBsdCanopy,QPACanopyLog,QPBCanopyLog
1,16.35,0.811206996,11.87,0.95,1.907545953,1.821176338
2,8.23,0.97,12.57,1.58,1.599415049,1.500571154
3,12.70,1.81,13.82,1.33,1.588365213,1.485023923
4,14.18,0.96,10.34,1.00,1.541040641,1.43922313
5,6.93,0.69,6.93,0.69,1.453436019,1.340156637
6,21.26,1.10,14.62,1.26,1.517465764,1.243098488
7,89.44,1.22,72.25,5.83,1.308063248,1.085139186
8,65.72,1.35,52.43,3.14,1.306296983,0.965580786
9,65.00,1.69,51.62,1.28,1.35123542,1.195661648
10,62.00,2.58,49.31,0.91,1.263558008,1.134008845
11,56.80,1.70,44.66,0.61,1.306296983,1.058064774
12,60.55,2.90,40.53,1.42,1.195487221,1.189664629
13,49.11,2.80,34.61,1.95,,
14,49.02,3.71,30.71,1.71,,
15,51.28,3.66,38.65,1.81,,
16,46.97,4.06,36.34,2.09,,
17,49.02,4.13,33.68,2.11,,
18,43.88,4.08,38.42,3.10,,
