TimeLeaf,QPAchla,QPAsdCHLA,QPBchla,QPBsdCHLA,QPACHLALog,QPBCHLALog
1,1493.965477,,2373.121455,,-0.28967553,-0.918657663
2,1855.537232,,2943.44856,,0.288179576,-0.357707522
3,1080.517938,,1412.440938,,0.452859637,-0.595441674
4,690.8267372,,1312.752388,,-0.117854971,-0.84326853
5,1006.941782,,1297.334088,,-0.5143564,-1.168300959
6,898.6926967,,790.634692,,0.225704299,-0.243954747
7,789.2450366,,734.1713605,,0.122225652,-0.447141211
8,763.4732077,,710.1596405,,-0.359384038,-1.008017293
9,831.2231431,,1006.249583,,-0.338058219,-0.273865811
10,782.6402214,,557.8031636,,0.614516928,-0.387846781
11,1396.164536,,977.4589417,,1.191025146,-0.171091571
12,1647.672913,,770.6406142,,0.131158445,0.024479054
13,932.0241371,,601.4812,,0.323077375,-0.109711891
14,627.541924,,434.5725268,,-0.812781067,-1.654887464
15,1316.620449,,1095.218388,,,
16,1188.320449,,893.8362551,,,
17,734.8283898,,510.1202679,,,
18,751.380652,,1062.944322,,,
19,1949.71055,,948.4385764,,,
20,3473.410343,,1177.998675,,,
21,1204.683763,,1432.45189,,,
22,1460.94284,,1252.568997,,,
23,469.6200356,,267.1409298,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
