date,QPACanopy,QPAsdCanopy,QPBCanopy,QPBsdCanopy,QPACanopyLog,QPBCanopyLog
2017-01-14,16.351,0.811,11.873,0.946,2.035709058,1.872502142
2017-03-15,8.233,0.972,12.567,1.581,1.727578155,1.551896958
2017-05-17,12.697,1.808,13.823,1.334,1.716528319,1.536349726
2017-07-08,14.184,0.962,10.342,1.004,1.669203747,1.490548934
2017-09-04,6.933,0.685,6.933,0.685,1.581599124,1.39148244
2017-09-10,21.262,1.101,14.618,1.262,1.645628869,1.294424291
2017-10-04,89.44,1.217,72.251,5.827,1.436226353,1.13646499
2017-11-08,65.722,1.352,52.433,3.142,1.434460089,1.016906589
2017-12-11,65,1.693,51.624,1.277,1.479398525,1.246987452
2018-01-25,61.996,2.576,49.313,0.914,1.391721113,1.185334648
2018-02-15,56.796,1.699,44.662,0.609,1.434460089,1.109390578
2018-03-13,60.551,2.895,40.531,1.416,1.323650326,1.240990432
2018-04-13,49.111,2.799,34.609,1.948,1.294256092,1.181352166
2018-05-09,49.024,3.707,30.709,1.711,1.206443161,1.195615482
2018-06-13,51.278,3.658,38.653,1.815,1.17562524,1.141460837
2018-07-12,46.973,4.061,36.342,2.091,1.110170268,0.782647871
2018-08-18,49.024,4.132,33.684,2.109,1.026044255,1.030918963
2018-09-25,43.882,4.081,38.422,3.102,0.991775799,0.925352283
2018-10-24,42.611,3.217,36.198,2.814,1.070264724,1.106814364
2018-11-28,39.029,4.185,36.718,3.891,1.026930388,1.309983304
2018-12-31,37.844,3.481,34.782,3.091,1.036626365,1.233443227
2019-01-29,35.447,2.993,24.296,1.739,0.966693202,1.201890013
2019-02-25,32.587,2.978,31.142,2.462,0.895547766,1.067352865
2019-03-27,31.489,2.073,28.022,1.287,0.759415592,1.085962175
2019-04-25,34.06,3.43,33.598,1.73,0.631161257,0.96675143
2019-06-19,32.616,3.798,41.167,3.365,0.6258842,0.881087944
2019-07-31,32.933,3.628,38.133,3.401,0.577094035,0.923288298
2019-08-27,30.709,3.53,36.949,3.728,0.681203769,1.041071334
2019-09-30,28.6,3.831,32.298,3.952,0.163260678,0.774289613
2019-10-29,24.96,3.483,32.904,3.842,0.224379493,0.459874479
2019-11-26,21.956,3.202,29.207,3.455,0.556040626,0.852670731
2019-12-27,21.84,2.642,26.809,4.316,0.491596663,0.967740061
2020-01-31,20.8,2.323,27.964,2.866,0.305941265,0.80962898
2020-02-28,23.082,2.847,31.46,3.233,0.419465091,0.85930059
2020-03-24,13.751,2.031,24.093,3.311,0.52140513,0.704782735
2020-04-27,14.618,2.645,17.593,3.295,0.253592865,0.823422302
2020-05-27,20.367,3.298,26.058,4.485,,
2020-06-30,19.096,2.34,29.236,3.825,,
2020-07-28,15.86,1.999,24.96,3.156,,
2020-08-25,17.767,2.498,26.231,3.785,,
2020-09-28,19.673,3.172,22.476,3.011,,
