Sample_ID,Code,Sample_Date,Sample_Time,Temp,pH,Cond,Potassium,NH4,DOC,Nitrate,NitrateCode,PotassiumCode,NH4Code,DOCCode
QPA2,34702,1/3/2017,905,20,6.26,81.33,0.32,3,1.15,138,NA,NA,BDL,NA
QPA2,34720,1/10/2017,950,20.5,6.68,95.28,0.3,0,0.86,134,NA,NA,BDL,NA
QPA2,34738,1/17/2017,940,20,6.59,70.42,0.35,2,3.15,224,NA,NA,BDL,NA
QPA2,34756,1/24/2017,820,19,6.72,94.79,0.3,3,0.75,109,NA,NA,BDL,NA
QPA2,34774,1/31/2017,850,20,6.44,102.4,0.32,2,1.01,137,NA,NA,BDL,NA
QPA2,34792,2/7/2017,825,20,6.73,78.66,0.34,0,3.15,218,NA,NA,BDL,NA
QPA2,34810,2/14/2017,945,20,6.78,103.3,0.34,1,1.14,154,NA,NA,BDL,NA
QPA2,34828,2/21/2017,920,19,6.77,106,0.35,1,1.53,164,NA,NA,BDL,NA
QPA2,34846,2/28/2017,755,20,6.76,106.6,0.4,1,0.98,181,NA,NA,BDL,NA
QPA2,34864,3/7/2017,920,19,6.71,70.1,0.51,3,2.58,153,NA,NA,BDL,NA
QPA2,34882,3/14/2017,915,20,6.65,89.36,0.57,2,0.9,120,NA,NA,BDL,NA
QPA2,34900,3/21/2017,756,20,6.75,92.76,0.36,11,1.16,31,NA,NA,NA,NA
QPA2,34918,3/28/2017,850,20,6.58,95.02,0.38,1,0.94,114,NA,NA,BDL,NA
QPA2,34936,4/4/2017,750,20,6.69,81.66,0.4,4,1.03,116,NA,NA,BDL,NA
QPA2,34954,4/11/2017,925,21,6.52,99.64,0.37,-1,1.09,72,NA,NA,BDL,NA
QPA2,34972,4/18/2017,930,20,6.59,66.39,0.44,2,2.63,107,NA,NA,BDL,NA
QPA2,34990,4/25/2017,1020,21,6.31,86.74,0.38,0,1.15,83,NA,NA,BDL,NA
QPA2,35008,5/2/2017,1010,21,6.6,69.51,0.33,11,1.25,2,BDL,NA,NA,NA
QPA2,35026,5/9/2017,925,21,6.66,60.22,0.37,2,0.96,78,NA,NA,BDL,NA
QPA2,35044,5/16/2017,1047,22,6.61,98.87,0.38,13,1.33,2,BDL,NA,NA,NA
QPA2,35062,5/23/2017,935,21.5,6.6,104.8,0.38,3,1.05,0,BDL,NA,BDL,NA
QPA2,35080,5/30/2017,840,21,6.61,70.36,1,10,1.79,77,NA,NA,NA,NA
