TimeCHLA,QPAShrimp,QPAsdShrimp,QPBShrimp,QPBsdShrimp,dateLN,QPAShrimpLog,QPBShrimpLog
1/1/2017,4.7,1.860880902,7.03,1.341643764,2017-10-04,-0.23393578,0.390235065
2/1/2017,7.1,2.55,9.81,1.4,2017-11-07,-0.239203865,0.631231632
3/1/2017,2.92,0.64,2.48,0.87,2017-12-08,-0.086031458,-0.043353451
4/1/2017,5.16,1.27,4.96,0.85,2018-01-20,0.194384455,0.436639122
5/1/2017,2.91,1.71,6.55,0.74,2018-02-15,0.449264798,0.341128433
6/1/2017,5.86,2.32,9.58,1.07,2018-03-13,0.357700178,0.673279354
7/1/2017,4.84,1.41,7.03,1.07,2018-04-10,0.923433147,1.122436756
8/1/2017,4.1,1.49,4.55,1.04,2018-05-08,-0.010068608,0.575412531
9/1/2017,8.18,1.79,5.55,1.98,2018-06-12,0.383830498,0.992127709
10/1/2017,7.03,1.13,5.14,1.28,2018-07-11,0.645842869,1.208225252
11/1/2017,8.95,1.42,5.12,2.51,2018-08-07,0.709639939,1.017854627
12/1/2017,4.56,1.96,5.96,1.37,2018-09-06,-0.010001997,0.16681027
1/1/2018,7.37,1.64,7.89,0.63,2018-10-03,0.180285861,0.087772451
2/1/2018,6.7,1.43,10.19,1.56,2018-11-01,0.399394425,0.256537298
3/1/2018,9.33,2.16,9.3,2.43,2018-12-04,0.269734048,0.409506162
4/1/2018,12.46,4.49,16.37,5.05,2019-01-03,0.098597297,0.213170875
5/1/2018,9.8,1.52,6.43,2.93,2019-02-05,0.121989466,0.566073384
6/1/2018,12.84,1.78,9.54,3.09,2019-03-06,0.408274831,0.586442602
7/1/2018,15.94,3.14,12.4,4.62,2019-04-03,0.371495165,0.537408582
8/1/2018,13.17,3.011373224,13.22,3.975573391,2019-05-01,0.817862356,0.752616862
9/1/2018,7.64,,8.97,,2019-06-07,0.500372304,0.080735464
10/1/2018,6.16,,10.23,,2019-07-05,0.240039901,0.56625312
11/1/2018,6.33,,10.09,,2019-08-06,0.083373911,0.274781187
12/1/2018,7.59,,7.39,,2019-09-05,0.354399016,0.17606686
1/1/2019,7.3,,7.95,,2019-10-03,0.320034799,0.416734634
3/1/2019,7.53,,7.69,,2019-11-05,0.140367341,0.26722363
4/1/2019,9.59,,8.22,,2019-12-03,-0.254432235,0.107660536
5/1/2019,5.48,,10.63,,2020-01-09,0.003846263,0.000172464
6/1/2019,4.35,,10.19,,2020-02-04,-0.34321992,-0.22189892
7/1/2019,13.2,,11.18,,2020-03-04,-0.081858956,-0.125731072
8/1/2019,5.34,,11.96,,2020-06-07,0.105006467,-0.059017824
9/1/2019,5.65,,6.37,,2020-05-06,0.239319973,0.009271358
10/1/2019,7.16,,9.59,,2020-06-04,0.408686216,0.950052304
11/1/2019,5.94,,9.44,,2020-07-01,0.12504962,0.362453294
12/1/2019,5.9,,7.69,,2020-08-05,0.322919454,-0.004009558
1/1/2020,4.73,,6.29,,2020-09-04,0.718199634,0.119783165
2/1/2020,4.23,,6.36,,,,
3/1/2020,4.08,,5.11,,,,
,,,6.15,,,,
