TimeLeaf,QPALeaflitter,QPBLeaflitter,TimeChla,QPAChla,QPBChla,TimeCanopy,QPACanopy,QPBCanopy
1,-2.328879891,-0.881529659,3,1647.672913,770.6406142,3,65,51.62
2,-2.786026878,-0.946126372,4,932.0241371,601.4812,4,62,49.31
3,-2.189110175,-1.731426637,5,627.541924,434.5725268,5,56.8,44.66
4,-2.120480936,-1.023895647,6,1316.620449,1095.218388,6,60.55,40.53
5,-1.931042585,-1.155725351,7,1188.320449,893.8362551,7,49.11,34.61
6,-2.680962702,-1.592679052,8,734.8283898,510.1202679,8,49.02,30.71
7,-0.064081888,-0.788258216,9,751.380652,1062.944322,9,51.28,38.65
8,-1.897907023,-1.643160676,10,1949.71055,948.4385764,10,46.97,36.34
9,-2.603476724,-1.073264013,11,3473.410343,1177.998675,11,49.02,33.68
10,-1.808288817,-1.256619939,12,1204.683763,1432.45189,12,43.88,38.42
11,-1.496896265,-0.840765857,13,1460.94284,1252.568997,13,,
12,-1.388419861,-0.502305706,,,,,,
13,-0.975554355,-0.598869913,,,,,,
14,-0.563222204,-0.70151056,,,,,,
15,-1.874568497,-1.162473227,,,,,,
16,-1.635387568,-0.817998155,,,,,,
17,-0.964295837,-0.947264438,,,,,,
18,-1.436566602,-0.909921175,,,,,,
19,-1.528617516,-1.015944272,,,,,,
20,-1.038668681,-1.49645676,,,,,,
21,-1.296084225,-0.894219391,,,,,,
22,-1.025272634,-0.936551829,,,,,,
23,-1.462258184,-0.977840436,,,,,,
